Linha;Erro;Conteúdo
2227;Colunas incorretas (2 de 1);PARANÁ;CURITIBA;CENTRO UNIVERSITÁRIO DE ENSINO; CIÊNCIA E TECNOLOGIA DO PARANÁ;FAESP;Centro Universitário;Privada sem fins lucrativos ;PSICOLOGIA;PSICOLOGIA;Presencial;Bacharelado;;;;;22;127;;205;312
2449;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;444;428;400;373;355;465;497;477;488
2509;Colunas incorretas (2 de 1);RIO DE JANEIRO;RIO DE JANEIRO;CENTRO UNIVERSITÁRIO BRAZ CUBAS;BRAZ CUBAS;Centro Universitário;Privada com fins lucrativos ;OFTÁLMICA; OPTOMETRIA E ORTÓPTICA;Óptica E Optometria;EaD;Bacharelado;;;;;;;91;272;330
2604;Colunas incorretas (3 de 1);CEARÁ;FORTALEZA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA DA COMPUTAÇÃO;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;269;289;336;337;355;379;399;422;418
2825;Colunas incorretas (3 de 1);SANTA CATARINA;FLORIANÓPOLIS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Presencial;Bacharelado;79;108;187;251;314;377;386;448;427
3040;Colunas incorretas (2 de 1);PIAUÍ;PARNAÍBA;FACULDADE DE CIÊNCIAS HUMANAS;EXATAS E DA SAÚDE DO PIAUÍ;FAHESP;Faculdade;Privada com fins lucrativos ;DIREITO;DIREITO;Presencial;Bacharelado;;;;;;53;160;234;339
3143;Colunas incorretas (3 de 1);RIO DE JANEIRO;RIO DE JANEIRO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;FISIOTERAPIA;FISIOTERAPIA;Presencial;Bacharelado;221;232;250;284;309;327;319;319;388
3144;Colunas incorretas (3 de 1);MARANHÃO;SÃO LUÍS;INSTITUTO FLORENCE DE ENSINO SUPERIOR;IFES;Faculdade;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;;;;;17;169;190;258;415
3166;Colunas incorretas (3 de 1);TOCANTINS;PALMAS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO TOCANTINS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Presencial;Bacharelado;188;237;275;331;381;417;394;368;418
3292;Colunas incorretas (3 de 1);MATO GROSSO;CUIABÁ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA DA COMPUTAÇÃO;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;127;145;158;176;206;236;243;287;283
3301;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO;FEBASP;Centro Universitário;Privada sem fins lucrativos ;ARTES PLÁSTICAS E VISUAIS;ARTES VISUAIS; PINTURA; GRAVURA E ESCULTURA;Presencial;Bacharelado;281;303;323;326;355;384;318;342;384
3376;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;Centro Universitário;Privada sem fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;EaD;Tecnológico;;;;;16;98;127;171;302
3381;Colunas incorretas (3 de 1);MINAS GERAIS;MUZAMBINHO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;PEDAGOGIA;PEDAGOGIA;EaD;Licenciatura;;;;246;179;259;367;392;404
3455;Colunas incorretas (3 de 1);RIO DE JANEIRO;CAMPOS DOS GOYTACAZES;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA FLUMINENSE;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ARQUITETURA E URBANISMO;ARQUITETURA E URBANISMO;Presencial;Bacharelado;293;330;370;392;415;387;341;379;400
3525;Colunas incorretas (2 de 1);PARANÁ;CURITIBA;CENTRO UNIVERSITÁRIO DE ENSINO; CIÊNCIA E TECNOLOGIA DO PARANÁ;FAESP;Centro Universitário;Privada sem fins lucrativos ;DIREITO;DIREITO;Presencial;Bacharelado;;;;;58;94;;184;277
3533;Colunas incorretas (3 de 1);ESPÍRITO SANTO;SERRA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS DE INFORMAÇÃO;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;216;247;270;289;307;317;341;355;377
3559;Colunas incorretas (3 de 1);RIO DE JANEIRO;NILÓPOLIS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;PRODUÇÃO CULTURAL;PRODUÇÃO CULTURAL;Presencial;Bacharelado;258;290;309;341;324;345;365;377;386
3644;Colunas incorretas (3 de 1);CEARÁ;CRATO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS DE INFORMAÇÃO;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;158;175;210;210;238;285;305;305;347
3704;Colunas incorretas (3 de 1);BAHIA;VITÓRIA DA CONQUISTA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DA BAHIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;Presencial;Bacharelado;364;337;358;373;430;366;337;331;361
3762;Colunas incorretas (3 de 1);MATO GROSSO;CAMPO VERDE;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;AGRONOMIA;AGRONOMIA;Presencial;Bacharelado;284;323;359;398;398;405;408;394;395
3772;Colunas incorretas (2 de 1);PARÁ;BELÉM;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;Universidade;Pública Federal;CIÊNCIAS;LICENCIATURA INTEGRADA EM CIÊNCIAS; MATEMÁTICA E LINGUAGENS;Presencial;Licenciatura;373;260;350;325;332;365;261;341;355
3801;Colunas incorretas (3 de 1);CEARÁ;MARACANAÚ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA AMBIENTAL E SANITÁRIA;ENGENHARIA AMBIENTAL E SANITÁRIA;Presencial;Bacharelado;339;352;406;420;415;404;386;374;380
3857;Colunas incorretas (3 de 1);CEARÁ;FORTALEZA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA DE TELECOMUNICAÇÕES;ENGENHARIA DE TELECOMUNICAÇÕES;Presencial;Bacharelado;261;301;321;312;307;327;324;335;352
3858;Colunas incorretas (3 de 1);CEARÁ;FORTALEZA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA MECATRÔNICA;ENGENHARIA DE MECATRÔNICA;Presencial;Bacharelado;266;309;341;345;347;343;340;343;347
4008;Colunas incorretas (3 de 1);BAHIA;SALVADOR;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DA BAHIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ADMINISTRAÇÃO;ADMINISTRAÇÃO;Presencial;Bacharelado;294;252;292;268;271;294;400;432;340
4027;Colunas incorretas (2 de 1);PERNAMBUCO;PAULISTA;FACULDADE  FASUP;FASUP;Faculdade;Privada sem fins lucrativos ;OFTÁLMICA; OPTOMETRIA E ORTÓPTICA;OPTOMETRIA;Presencial;Bacharelado;;;94;167;270;378;452;420;361
4033;Colunas incorretas (3 de 1);MATO GROSSO;CUIABÁ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SECRETARIADO;SECRETARIADO EXECUTIVO;Presencial;Bacharelado;316;302;322;323;344;374;291;290;287
4034;Colunas incorretas (3 de 1);MINAS GERAIS;MACHADO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;PEDAGOGIA;PEDAGOGIA;EaD;Licenciatura;;;;;155;238;306;338;375
4083;Colunas incorretas (3 de 1);MARANHÃO;SÃO LUÍS;CENTRO UNIVERSITÁRIO SANTA TEREZINHA;CEST;Centro Universitário;Privada sem fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;;;;;34;108;163;239;318
4089;Colunas incorretas (3 de 1);MARANHÃO;SÃO LUÍS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS DE INFORMAÇÃO;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;228;229;278;274;279;291;;332;352
